id	surface	gloss	level
276	경감 사유	mitigating circumstances	
277	경계석	hoarstone	
278	경계하여	on the  quivive	
279	경도계	sclerometer	
280	경마를 업으로 하여	on the  turf	
281	경매 되다	come under the  hammer	
282	경비행기를 띄우다	puddlejump	
283	경사	heel	
284	경시	floccinaucinihilipilification	
285	경심	metacentric	
286	경영 참가	Mitbestimmung	
287	경제의 장	marketplace	
288	경치	scene	
289	경화하다	metalline	
290	곁쇠	skeleton key	
291	곁에 서다	stand	
292	계류하다	moor2	
293	계산기	printing calculator	
294	계속되다	come to  stay	
295	계속해일하다	work	
296	고간백종	milk leg	
297	고급 피지	vellum	
298	고급 홍차	orange pekoe	
299	고기 거는 갈고리	fleshhook	
300	고기 요리를 곁들인 오후의 차	high(meat)  tea	
301	고대 헬베티아족의	helvetian	
302	고리	link	
303	고리를 잡아당겨 여는	ring-pull	
304	고립시키다	quarantine	
305	고맙습니다	mahalo	
306	고문	third degree	
307	고별사	valedictory	
308	고살죄	manslaughter	
309	고상하게	in good style	
310	고생의 원인이 되는 특성	misfeature	
311	고생하며 헤쳐 나아가다	worry	
312	고수머리	wool	
313	고액 의료비 보험	majormedical	
314	고양이 출입문	cat door	
315	고역을 강제당하다	be chained to the  oar	
316	고장	foulup	
317	고장나서	fritz	
318	고주파로 파괴하다	fulgurate	
319	고지의 영장	scirefacias	
320	고층화 하다	Manhattanize	
321	곡물의 제물	meal offering	
322	곤경에 빠져	in the  soup	
323	곤경에 빠져서	in deep  water	
324	곤경에 빠지다	get into hot  water	
325	곤드레 만드레 취하여	drunk as a  lord	
326	곤란하여	at a  loss	
327	곤란해서	in  trouble	
328	곧 눈에 띄다	leap	
329	곧이 듣다	lap	
330	골동품	knickknack	
331	골동품	articles (objects) of  virtu	
332	골라내다	mark	
333	골라내다	winnow	
334	골무	thimble	
335	골을 끼다	tree	
336	골짜기	flume	
337	곰 놀리기	bearbaiting	
338	곱슬곱슬하게 되다	crisp	
339	곱슬곱슬하지 않은	lank	
340	공개 매입	takeover bid	
341	공개 시장 조작	openmarket operation	
342	공개일	open house	
343	공격하다	light	
344	공공 집회	Thing	
345	공급선	umbilical	
346	공기놀이	mig	
347	공기보다 무거운	heavierthanair	
348	공도	king's highway	
349	공동 작용할 수 있는	coordinated	
350	공동 집행인	coexecutor	
351	공동성명	joint	
352	공동성명	jointless	
353	공뢰	aerial  torpedo	
354	공모	public subscription	
355	공모	conspiracy	
356	공무원	public officer	
357	공문서서체	court hand	
358	공법률	public act	
359	공복	public  servant	
360	공손히	hat	
361	공유지	public land	
362	공익 사업	public  utility	
363	공인 주류 판매인	licensed	
364	공인주류 판매점	licensed	
365	공자리에서 치기 시작하다	tee	
366	공정선	production line	
367	공중 어뢰	hydrobomb	
368	공짜로 얻어먹는 사람	freeloader	
369	공채	public  loan	
370	공치는 방망이	mallet	
371	공판에 부치다	bring to (put on)  trial	
372	공표하다	make  known	
373	공해의 자유 항행권	freedom of the seas	
374	과거형만 있는	preteritive	
375	과격론자	fringer	
376	과관절	hock	
377	과녁 밖	outer	
378	과녁에 맞히다	hit a  target	
379	과녁에서 빗나간	beside the  mark	
380	과녁을 벗어나서	wide	
381	과수원	fruit ranch	
382	과육 채취기	pulper	
383	과일을 상식하는 동물	frugivore	
384	과잉 살상력	overkill	
385	과자 상자	tuckbox	
386	관악기	wind	
387	광궤	broad(narrow)  gauge	
388	광명	light	
389	광장	maidan	
390	광천수 마시는 홀	pump room	
391	광택	luster	
392	광택계	glossmeter	
393	괜찮음	tolerability	
394	괴로운 나머지	in  torture	
395	괴로움을 당하다	to  harm	
396	괴로움을 당하여	under the  Harrow	
397	괴롭히다	ratten	
398	괴롭히다	to bother, to smite, to tease	
399	교구 위원회	vestry	
400	교살당하다	kick the  wind	
401	교섭 위원	manager	
402	교수형	necktie party	
403	교외 산책의	freeair	
404	교전 중인	at  war	
405	교통 두절	tieup	
406	구경부를 싼 금속박	foil capsule	
407	구구하고 울다	chuck	
408	구두 도입 교수법	oral approach	
409	구멍 뚫는 기계	keypunch	
410	구멍선이 없는	imperforate	
411	구멍이 잘 안 뚫리는	punctureresistant	
412	구명대	life preserver	
413	구명망	life net	
414	구보	double  march	
415	구부러진 다리	cabriole	
416	구성	maiden name	
417	구성 요소	formative element	
418	구애하다	make	
419	구역제	zoning	
420	구직광고	want ad	
421	구충제	vermicide	
422	구폐	the old  leaven	
423	구형 자동차	vintage car	
424	구획하다	mark	
425	국가 사회주의	Hitlerism	
426	국가 사회주의자	Hitlerite	
427	국가 지방 공무원 조합	Nalgo, N.A.L.G.O	
428	국경 관할관	marcher	
429	국립 고등 학교	lycee	
430	국민당	kuomintang	
431	국사범	state	
432	국유재산	state	
433	국지전	limited	
434	군사 교련	military science	
435	군사 정보국	military intelligence	
436	군주	liege	
437	군호하다	sound	
438	굳게 지키다	hold	
439	굳어진	candied	
440	굴뚝을 같춘	funneled	
441	굴욕을 참고 목적을이루다	stoop	
442	굴절	deflection	
443	굴절시키다	refract	
444	굴착기	navvy	
445	굴하지 않다	carry(keep)a stiff upper  lip	
446	굵은 채찍	cart whip	
447	굶주리게 하다	starve	
448	굼뜬	lymphatic	
449	굽	stem	
450	굽은	taliped	
451	궁정기사	court circular	
452	궁지에 몰려서	with one's back to the  wall	
453	궁지에 빠지다	go to the  wall	
454	권력	puissance	
455	권리	privilege	
456	권법	kung fu	
457	권총 케이스	holster	
458	권총을 들이대고	at  gunpoint	
459	권표 받드는 사람	verger	
460	궤도	orbit (around an object)	
461	궤도 사용권	trackage	
462	궤도에 올리다	orbit	
463	귀가 드러난	crop-eared	
464	귀때	lip	
465	귀선 유전	throwback	
466	귀여운 사람	mavourneen, -nin	
467	귀절	verse	
468	귀족의 저택	country house	
469	귀천	gentle	
470	규정에 따라 요리하다	kosher	
471	규정에 맞는	kosher	
472	규정하다	ordain	
473	규정항로	lane	
474	규칙	order	
475	규칙대로의	according to  Hoyle	
476	균형식	balanced	
477	그 동안	the  while	
478	그 밖에	over	
479	그 상표	masonite	
480	그 상표명	magic eye	
481	그 자격으로	as  such	
482	그 자리에서 꼼짝 못하게 하다	transfix	
483	그 후 쭉	ever  since	
484	그것으로 됐다	and  welcome	
485	그것은 다소 위안이 된다	That is  something	
486	그네 곡예사	trapezist	
487	그다지 도움이 안되다	go little  way	
488	그대로	sic	
489	그라미시딘항생물질의 하나	gramicidin	
490	그래도	though	
491	그러나	but  then	
492	그러나 너무 하지 않게	ma non  troppo	
493	그러모은	scratchy	
494	그런데	now  then	
495	그렇다 치더라도	at  that	
496	그로기가 된	punchy	
497	그리고 나서	and  then	
498	그림 패	court card	
499	그만두다	let	
500	그의 이름을	for his name's  sake	
501	그치	my  gentleman	
502	극단으로	up to the  handle	
503	극단적으로	to the  limit	
504	극단파	lunatic fringe	
505	극도로	to the  utmost	
506	극량	maximum dose	
507	극북의 땅	Thule	
508	극소 부분의 연구	microstudy	
509	극소 전자 공학	molectronics	
510	극소 전자공학	microelectronics	
511	극소본	micro book	
512	극진히 돌보다	cocker	
513	극한	frozen limit	
514	근류 박테리아	rhizobium	
515	근친인	near (next) of  kin	
516	근해 어업	offshore	
517	긁어 넣듯이 처먹다	tuck	
518	금 테드리	matting	
519	금고 털이	safeblowing	
520	금기	taboo	
521	금몰	gold  lace	
522	금성 탐측기	Venik	
523	금일	today, the day in question	
524	금제선	forbidden line	
525	금지	proscription	
526	금지령을 선포하다	proclaim	
527	급변	flipflap	
528	급변	flipflop	
529	급속 냉동하다	frost	
530	급수장	watering place	
531	급함	hurry	
532	기	power, vitality, energy	
533	기 (를 쓰다)	to use/take up energy	
534	기가 죽다	funk	
535	기계 수리 기술자	millwright	
536	기계 언어	machine language	
537	기계어	machine word	
538	기계적으로 규칙바른	metronomic, -ical	
539	기관	machinery	
540	기관	organ	
541	기관차	locomotive	
542	기꺼이	nothing  loath	
543	기꺼이 받아들이는	acceptant	
544	기껏해야	at the (very)  outside	
545	기껏해야	at the  utmost	
546	기념문	propylon	
547	기능자	fundi	
548	기능주의	functionalism	
549	기도	mantra	
550	기도서	(the  liturgy	
551	기도하는사람	chaplain	
552	기둥 상부의 띠 모양의 도래	taenia	
553	기록	memorabilia	
554	기록 등의 제출	profert	
555	기를 쓰고 닥치는 대로 해보다	at a  straw	
556	기복하다	wave	
557	기분이 나빠서	out of  humor	
558	기분이 좋아	in good (ill)  humor	
559	기분이 좋아서	in a good(bad)  temper	
560	기사	chevalier	
561	기상청 직원	Met Office	
562	기선으로	by  steam	
563	기세를 꺾다	kill	
564	기수에	fore	
565	기술	science	
566	기운을 돋우는것	wine	
567	기울어	on the  tilt	
568	기일	term	
569	기일	a specific date	
570	기자	mediaperson	
571	기자 초청 연회	press party	
572	기자회견	news conference	
573	기저부	fundus	
574	기절시키다	stun	
575	기조 연설	keynote address	
576	기차로 가다	train	
577	기초 저음	fundamental bass	
578	기형아	thalidomide	
579	기혼 부인	matron	
580	기혼 부인들	matronage	
581	기회를 이용하다	improve the  occasion	
582	긴속옷	long johns	
583	길게	at full  length	
584	길들다	tame	
585	길에 가로놓인 난관	lion	
586	길을 잃다	lose	
587	길을 잘못 들다	go  wrong	
588	깃가지	flue	
589	깃에대는 천	tucker	
590	깃에서 앞가슴의 주름장식	jabot	
591	깊이판 우물	artesian well	
592	깊지 않은	light	
593	까다로운	acidic	
594	까딱 실수하여	by (an)  oversight	
595	깔개	table mat	
596	깔고 뭉개다	henpeck	
597	깔대기 모양이 되게 하다	funnel	
598	깔짚	litter	
599	깜박이다	wink	
600	깜짝 놀라	at of a  heap	
601	깜짝 놀라다	open	
602	깨다	chip	
603	깨닫다	take a  hint	
604	깽깽 짖다	yip	
605	꺼져라	Go to  jericho	
606	껄끄러운	granulative	
607	껍질이 말라붙은	hidebound	
608	꼬다	twine	
609	꼬다	twist	
610	꼬들꼬들하도록 튀기다	frizzle	
611	꼬리	train	
612	꼬리 없는 고양이	Manx cat	
613	꼬리 회전 날개	tail rotor	
614	꼬리등	tail lamp	
615	꼬마철도	scenic railway	
616	꼬박	fully	
617	꼬인자리	lay	
618	꼬투리	stump	
619	꼭	be  sure	
620	꼭 맞다	fit like a  glove	
621	꼭 졸라매다	frap	
622	꼭대기가 안보이는	topless	
623	꼭지로부터 술을 따르다	( tap   a	
624	꼭지를 달다	tap	
625	꼴사나운	misbegotten	
626	꼴찌	tailender	
627	꽁꽁 얼다	crisp	
628	꽂다	lodge	
629	꽂히다	lodge	
630	꽃무늬 장식	fleuron	
631	꽃병	thumbpot	
632	꽉 들어차다	crowd	
633	꽉 짼	well  knit	
634	꽤 많이	a good  many	
635	꾀다	lead	
636	꾀병을 부리다	malinger	
637	꾸르륵거리다	wamble	
638	꾸미다	machinate	
639	꾸미다	weave	
640	꾸밈	machinery	
641	끄는 줄	leading rein	
642	끄다	tune out (the radio)	
643	끄덕이다	nod	
644	끈	leading strings	
645	끈	tape	
646	끈 문자	string alphabet	
647	끈을 풀다	unlace	
648	끌고 가다	walk	
649	끌다	to tug, to pull	
650	끌어 당기다	magnetize	
651	끌어 올리다	light	
652	끌어내어 걸려 보이다	trot	
653	끓어오르다	surge	
654	끝	foreend	
655	끝에서 끝까지	over	
656	끝을 자르다	top	
657	나가서	off	
658	나같은 것	the  like  s of me	
659	나날의 일에 종사하여	in  harness	
660	나들이 옷	holiday	
661	나들이옷	one's best bid and  tucker	
662	나무피리	hornpipe	
663	나방의 일종	miller	
664	나쁜	in the  wrong	
665	나쁜 정박 위치	foul berth	
666	나쁜 짓을 하다	do  wrong	
667	나쁜의 뜻	male	
668	나선식 급강하	tailspin	
669	나약	weak, not solid	
670	나온 사람들	turnout	
671	나이찬	nubile	
672	나이프로 위협받고	at  knifepoint	
673	나중에	later	
674	나타나다	manifest	
675	나팔꽃 모양으로 벌어지다	flue	
676	낙관하다	hope	
677	낙수하는 곳	overfall	
678	난국에 잘 대처하다	rise to the  occasion	
679	난바다에	in the  offing	
680	난잡하지 않은	chaste	
681	날개	wings	
682	날개 달린 샌들	talaria	
683	날개 돗힌듯이 팔리는 물건	best  seller	
684	날개 치기	wingbeat	
685	날개를 다친	winged	
686	날갯죽지	vane	
687	날고정기	toolholder	
688	날리다	let	
689	날밑	sword guard	
690	날아가다	wing	
691	날이 넓은 큰칼	machete	
692	날조하다	fudge	
693	날지 못하는	flightless	
694	낡은 금빛	old  gold	
695	남기다	leave	
696	남녀 공통의	unisex	
697	남녀 혼합 복식	mixed doubles	
698	남다	live	
699	남부 지방에의 버스	freedom ride	
700	남성 우월주의자	male chauvinist	
701	남성 우월주의자	male chauvinist pig	
702	남으로부터	southward	
703	남은것	odds	
704	남의 뒤치닥거리 하다	hold the  sack	
705	남의 말을 곧이 듣다	take a person at his  word	
706	남작하다	manufacture	
707	납포로 싸다	Cerberus	
708	낫	sickle	
709	낭비하다	trifle	
710	낭충	merozoite	
711	낮은	lowlying	
712	낮추다	level	
713	낳다	lamb	
714	낳다	litter	
715	내가 아는 바로는 그렇지 않다	not to my  knowledge	
716	내다	shed	
717	내려앉다	subside	
718	내륜	intrados	
719	내리다	lower, bring lower	
720	내밀 수 있는	protrusile	
721	내버려 두다	let	
722	내버리다	cast(fling) to the  wind	
723	내보내다	launch	
724	내부에 판자를 붙이다	ceil	
725	내비치는	seethrough	
726	내선 전화	housephone	
727	내연의	internalcombustion	
728	내전	pronation	
729	내전하다	pronate	
730	내진	sacrarium	
731	냄비	marmite	
732	냄새 자국	foiling	
733	냄새 자취를 잃고 우뚝서다	check	
734	냄새나는	stinking	
735	냄새자취	scent	
736	냉각탑	cooling tower	
737	냉간 가공하다	cold-work	
738	냉동 런치	meal pack	
739	냉혹	flintiness	
740	너무나	all  too	
741	너털웃음	horselaugh	
742	널름거리다	tongue	
743	넓어진 부분	layby	
744	넘겨쏘다	overshoot	
745	넘실거리다	lick	
746	넘어뜨리다	purl	
747	넘쳐 흐르다	slop	
748	네 끗	cater	
749	네 법학 학원중의 하나	Inner Temple	
750	네가지 근대화	Four Modernizations	
751	네갈래로 찢다	quarter	
752	네덜란드여자	frow	
753	노곤	languid, weary	
754	노란새	yellowbird	
755	노래하다	troll	
756	노력하다	hump	
757	노를 세워 경례하다	toss	
758	노사 분쟁	managementlabor	
759	노예 진압전	servile war	
760	노처녀	old  maid	
761	노출	outcrop	
762	노킹	knocking	
763	녹다	oil	
764	녹반	green  vitriol	
765	녹이다	found	
766	녹이다	oil	
767	녹화하다	pretape	
768	논의중의	in  question	
769	논쟁에서 상대방을 이기다	have the last  word	
770	논조를 바꾸다	sing another (a different)  tune	
771	논할 가치가 없는	out of the  question	
772	놀고 지내는 사람	a man about  town	
773	놀라 물러서다	shy	
774	놀라게 하다	mesmerize	
775	놀라게 하다	give (a person) a  turn	
776	놀라서	in  wonder	
777	놀랄만큼	to a  wonder	
778	놋좆	thole	
779	농가 공제 조합	grange	
780	농담으로	in  joke	
781	농담으로 까불다	in  jest	
782	농부가 되다	go on the  land	
783	농신제	Saturnalia	
784	농축 우라늄	enriched(concentrated)  uranium	
785	높은 양반	superior	
786	놓아 기르는	freerange	
787	놓아 버리다	leave	
788	누구나 다	one	
789	누그러뜨리다	slake	
790	누르기만 해도 잘 붙는	pressuresensitive	
791	누를 수 없는	lawless	
792	누비듯이 나아가다	weave	
793	누선	lachrymal	
794	누워있다	lie	
795	누진 번호	pro number	
796	눈가리고 아웅하기	ostrich	
797	눈감아 주어	on  sufferance	
798	눈뜨다	wake	
799	눈이 큰	oxeye	
800	눈이 휘둥그래진	mooneyed	
801	눌린	pressed	
802	뉴스 매체용 자료	median packet	
803	뉴스 캐스터	presenter	
804	느즈러지다	work	
805	늑재	futtock	
806	늘	once	
807	늘씬하게 두들겨패다	beat to a  jelly	
808	늘어놓다	windrow	
809	늘어진 살	wattle	
810	늘여 철사로 만들다	wiredraw	
811	늘하는	wont	
812	늦꾀	wise	
813	늦다	lose	
814	늦어도	at (the)  latest	
815	늦추었다 당겼다 하다	veer	
816	니커 바지	French knickers	
817	다 써버리다	use	
818	다감다	wind	
819	다량	quite a  little	
820	다루기 어려운	stroppy	
821	다루다	manage	
822	다리	forelimb	
823	다리꼭지	switch	
824	다리와 허리의 고기	haunch	
825	다린	pressed	
826	다발	topknot	
827	다수당 원내 총무	majority leader	
828	다시 체험하다	relive	
829	다운	like	
830	다운스 정박지	Downs	
831	다육성	fleshiness	
832	다이아몬드의 짝패	minor suit	
833	다치다	hurt	
834	닥쳐	Hold your  jaw  s	
835	단	terrace	
836	단검	misericord(e)	
837	단계별 교정쇄	progressive proof	
838	단구 증가증	mononucleosis	
839	단기 강좌	minicourse	
840	단독 심리실	Outer House	
841	단말장치	terminal	
842	단열용 피복시공	lagging	
843	단위 어수	folio	
844	단일 도덕률	single standard	
845	단장격	iambus	
846	단장격의	iambic	
847	단절	chasm	
848	단체구조 차체	monocoque	
849	단체인	monadelphous	
850	단풍	maple	
851	단행할 결의를 굳혀	screw one's courage to the  sticking place	
852	닫다	shut	
853	달갑지 않은 친절이다	It is too much  trouble	
854	달고 큰 품종의 밤	marron	
855	달다	wear	
856	달래다	lull	
857	달리면서 끊는 스타트	flying start	
858	달성하다	achieve	
859	달아서 나누다	weigh	
860	달인물	(beef tea	
861	닳아 해어짐	frazzle	
862	닳아해짐	wear	
863	담반	blue (copper)  vitriol	
864	담뿍 갖고 있다	be well  heeled	
865	담화 메모	memcon	
866	답신	verdict	
867	답차	treadmill	
868	당겨 벗기다	tear	
869	당번인	on(off)  watch	
870	당신 자신의 변명에 의하여	on your own  showing	
871	당아욱 속	mallow	
872	당일 결제 거래	cash sale	
873	당할 염려가 없는	immune	
874	닻줄 구멍이 있는 부근	hawse	
875	대	versus	
876	대 배심원	grand  jury	
877	대 하다	subtend	
878	대 화가	old master	
879	대가로 제공하다	trade	
880	대갈채를 얻은 것	showstopper	
881	대과 모양의	follicular	
882	대군주	overlord	
883	대규모로	in (the)  large	
884	대단원	catastrophe	
885	대대로 계속해서	generation	
886	대동요	tidal wave	
887	대량 수송	mass transport	
888	대량 투여	magadose	
889	대량 학살	massacre	
890	대립 교황	antipope	
891	대변인	press secretary	
892	대본	libretto	
893	대부하고	loan	
894	대부호	nabob	
895	대상의 숙사	khan	
896	대서양 건너의	transatlantic	
897	대서양 중앙 항로	middle passage	
898	대석	ledger	
899	대세	mainstream	
900	대스타	monstre sacre	
901	대신할 수 있는	fungible	
902	대요 요목	syllabus	
903	대전제	major premise(premiss)	
904	대중 집회	mass meeting	
905	대지	mat	
906	대진표 짜기	matchmaking	
907	대체 가능의	fungible	
908	대체로	in  substance	
909	대출하다	hire	
910	대패	lurch	
911	대평원	llano	
912	대폭 삭감	meatax	
913	대학 총장의 권표를 받드는 속관	beadle	
914	대학원생의 세미나	proseminar	
915	대학의 전공과목	major	
916	대항 조처	frontlash	
917	대형 버찌의 일종	oxheart	
918	대형 캥거루	forester	
919	대형그네	trapeze	
920	대호	sap	
921	대화	conversation	
922	대화	duologue	
923	대회	mass metting	
924	댄스하다	shake	
925	더 청하는 음식	follow	
926	더듬어 올라가다	trace	
927	더럽히다	to imbrue, to sully, to dirty	
929	더운 물을 섞다	mash	
930	더운물과 설탕을 섞은 브랜디	warm	
931	더할 나위없이	to the King's(Queen's) taste	
932	던지다	jettison	
933	덜된	misbegotten	
934	덧 고무층	cap	
935	덫으로 새	trapper	
936	덮개를 씌우다	upholster	
937	덮개천	focusing cloth	
938	덮치다	overwhelm	
939	데리고 가다	lead	
940	데모 진압 기동대	granadero	
941	도 무리가 아니다	and no  wonder	
942	도가머리	topknot	
943	도덕상의 과오	moral  lapse	
944	도량	lead	
945	도리들보	purlin	
946	도리들보	purline	
947	도망중이다	be on the  lam	
948	도망치다	light	
